N,X1,X2,Time
1,5,6,15609
2,35,53,15609
4,5710,2922,15609
8,66002238,44998948,15609
16,59832...05052,96633...42973,15609
32,87171...38437,99464...47031,31218
64,78149...31391,91795...12328,31218
128,11905...94194,27723...81668,46828
256,95970...56175,70180...82693,46828
512,37445...88166,23287...22598,46828
1024,47231...81160,90270...63949,109265
2048,86949...24662,56551...39240,187312
4096,57621...31158,21899...95215,343406
8192,77179...69752,91801...48126,952172
16384,76144...44462,29690...14727,2778471
32768,29632...11815,61873...87494,9943181
65536,72969...72961,65252...49410,48373501
131072,16161...67218,70907...81834,212566254
262144,90581...69870,78503...85670,878170289
524288,14745...87658,16905...25294,4033333333
1048576,38389...67652,92341...09490,15265625000
2097152,52749...21614,56325...69636,43351562500
4194304,10781...83298,34369...03674,151468750000
