N,X1,X2,Time
1,5,2,0
2,70,79,0
4,3537,3449,15609
8,2644240,36029523,15609
16,88776...86296,54252...62207,31218
32,93633...83902,13114...26614,78046
64,35789...55531,97359...78503,93656
128,24319...64387,32239...44876,280969
256,46337...40965,13923...04048,1123876
512,31633...10609,28690...58065,4635989
1024,90832...46273,22940...70673,19043456
2048,23649...39444,24505...35752,72047569
4096,82374...77177,38034...30776,303503787
8192,99557...21479,18138...00489,1159254807
16384,60343...57424,27812...47381,4794471153
32768,87432...99576,95492...58258,15846875000
65536,76769...09981,27698...58816,37609375000
131072,76523...76418,36563...18454,149007812500
