N,X,fib(X),Time
1,1,1,-15640
1,2,1,-31250
1,3,2,-31
1,4,3,-31250
1,5,5,-31250
1,6,8,-15640
1,7,13,-15640
1,8,21,-31
1,9,34,-31
2,10,55,-31
2,20,6765,15578
2,30,832040,15578
2,40,102334155,31187
2,50,12586269025,15578
2,60,15480...55920,15578
2,70,19039...09135,46796
2,80,23416...67685,46796
2,90,28800...16120,78015
3,100,35422...15075,62406
3,200,28057...89525,390203
3,300,22223...79600,796047
3,400,17602...19675,1935533
3,500,13942...94125,1873095
3,600,11043...59200,2653565
3,700,87470...24275,4276941
3,800,69283...98725,5588130
3,900,54877...38800,5759833
4,1000,43466...28875,7539304
4,2000,42246...17125,35304439
4,3000,41061...96000,96738073
4,4000,39909...74875,169086397
4,5000,38789...63125,269760416
4,6000,37701...92000,408406250
4,7000,36643...20875,469808866
4,8000,35615...09125,629851562
4,9000,34616...88000,807468750
5,10000,33644...66875,983599702
5,20000,25311...93125,4005177083
5,30000,19042...60000,8369760416
5,40000,14326...26875,12749968750
5,50000,10777...53125,22523406250
