N,X,fib(X),Time
1,1,1,15578
1,2,1,31187
1,3,2,15578
1,4,3,31187
1,5,5,46796
1,6,8,46796
1,7,13,-31
1,8,21,15578
1,9,34,-31
2,10,55,31187
2,20,6765,31187
2,30,832040,-31
2,40,102334155,-31
2,50,12586269025,15578
2,60,15480...55920,62406
2,70,19039...09135,124843
2,80,23416...67685,62406
2,90,28800...16120,78015
3,100,35422...15075,109234
3,200,28057...89525,327765
3,300,22223...79600,764828
3,400,17602...19675,1139454
3,500,13942...94125,1545298
3,600,11043...59200,3137456
3,700,87470...24275,3746222
3,800,69283...98725,3902316
3,900,54877...38800,5139380
4,1000,43466...28875,5971150
4,2000,42246...17125,23297238
4,3000,41061...96000,60209713
4,4000,39909...74875,83216700
4,5000,38789...63125,211557291
4,6000,37701...92000,249968750
4,7000,36643...20875,282086805
4,8000,35615...09125,311549632
4,9000,34616...88000,675750000
5,10000,33644...66875,681609375
5,20000,25311...93125,2213510416
5,30000,19042...60000,3328093750
5,40000,14326...26875,7015593750
